symbol,isActive,isIndex
600765,TRUE,FALSE
600766,TRUE,FALSE
600767,TRUE,FALSE
600768,TRUE,FALSE
600769,TRUE,FALSE
600770,TRUE,FALSE
600771,TRUE,FALSE
600772,TRUE,FALSE
600773,TRUE,FALSE
600774,TRUE,FALSE
600775,TRUE,FALSE
600776,TRUE,FALSE
600777,TRUE,FALSE
600778,TRUE,FALSE
600779,TRUE,FALSE
600780,TRUE,FALSE
600781,TRUE,FALSE
600782,TRUE,FALSE
600783,TRUE,FALSE
600784,TRUE,FALSE
600785,TRUE,FALSE
600786,TRUE,FALSE
600787,TRUE,FALSE
600788,TRUE,FALSE
600789,TRUE,FALSE
600790,TRUE,FALSE
600791,TRUE,FALSE
600792,TRUE,FALSE
600793,TRUE,FALSE
600794,TRUE,FALSE
600795,TRUE,FALSE
600796,TRUE,FALSE
600797,TRUE,FALSE
600798,TRUE,FALSE
600799,TRUE,FALSE
600800,TRUE,FALSE
600801,TRUE,FALSE
600802,TRUE,FALSE
600803,TRUE,FALSE
600804,TRUE,FALSE
600805,TRUE,FALSE
600806,TRUE,FALSE
600807,TRUE,FALSE
600808,TRUE,FALSE
600809,TRUE,FALSE
600810,TRUE,FALSE
600811,TRUE,FALSE
600812,TRUE,FALSE
600813,TRUE,FALSE
600814,TRUE,FALSE
600815,TRUE,FALSE
600816,TRUE,FALSE
600817,TRUE,FALSE
600818,TRUE,FALSE
600819,TRUE,FALSE
600820,TRUE,FALSE
600821,TRUE,FALSE
600822,TRUE,FALSE
600823,TRUE,FALSE
600824,TRUE,FALSE
600825,TRUE,FALSE
600826,TRUE,FALSE
600827,TRUE,FALSE
600828,TRUE,FALSE
600829,TRUE,FALSE
600830,TRUE,FALSE
600831,TRUE,FALSE
600832,TRUE,FALSE
600833,TRUE,FALSE
600834,TRUE,FALSE
600835,TRUE,FALSE
600836,TRUE,FALSE
600837,TRUE,FALSE
600838,TRUE,FALSE
600839,TRUE,FALSE
600840,TRUE,FALSE
600841,TRUE,FALSE
600842,TRUE,FALSE
600843,TRUE,FALSE
600844,TRUE,FALSE
600845,TRUE,FALSE
600846,TRUE,FALSE
600847,TRUE,FALSE
600848,TRUE,FALSE
600849,TRUE,FALSE
600850,TRUE,FALSE
600851,TRUE,FALSE
600852,TRUE,FALSE
600853,TRUE,FALSE
600854,TRUE,FALSE
600855,TRUE,FALSE
600856,TRUE,FALSE
600857,TRUE,FALSE
600858,TRUE,FALSE
600859,TRUE,FALSE
600860,TRUE,FALSE
600861,TRUE,FALSE
600862,TRUE,FALSE
600863,TRUE,FALSE
600864,TRUE,FALSE
600865,TRUE,FALSE
600866,TRUE,FALSE
600867,TRUE,FALSE
600868,TRUE,FALSE
600869,TRUE,FALSE
600870,TRUE,FALSE
600871,TRUE,FALSE
600872,TRUE,FALSE
600873,TRUE,FALSE
600874,TRUE,FALSE
600875,TRUE,FALSE
600876,TRUE,FALSE
600877,TRUE,FALSE
600878,TRUE,FALSE
600879,TRUE,FALSE
600880,TRUE,FALSE
600881,TRUE,FALSE
600882,TRUE,FALSE
600883,TRUE,FALSE
600884,TRUE,FALSE
600885,TRUE,FALSE
600886,TRUE,FALSE
600887,TRUE,FALSE
600888,TRUE,FALSE
600889,TRUE,FALSE
600890,TRUE,FALSE
600891,TRUE,FALSE
600892,TRUE,FALSE
600893,TRUE,FALSE
600894,TRUE,FALSE
600895,TRUE,FALSE
600896,TRUE,FALSE
600897,TRUE,FALSE
600898,TRUE,FALSE
600899,TRUE,FALSE
600900,TRUE,FALSE
600901,TRUE,FALSE
600902,TRUE,FALSE
600903,TRUE,FALSE
600904,TRUE,FALSE
600905,TRUE,FALSE
600906,TRUE,FALSE
600907,TRUE,FALSE
600908,TRUE,FALSE
600909,TRUE,FALSE
600910,TRUE,FALSE
600911,TRUE,FALSE
600912,TRUE,FALSE
600913,TRUE,FALSE
600914,TRUE,FALSE
600915,TRUE,FALSE
600916,TRUE,FALSE
600917,TRUE,FALSE
600918,TRUE,FALSE
600919,TRUE,FALSE
600920,TRUE,FALSE
600921,TRUE,FALSE
600922,TRUE,FALSE
600923,TRUE,FALSE
600924,TRUE,FALSE
600925,TRUE,FALSE
600926,TRUE,FALSE
600927,TRUE,FALSE
600928,TRUE,FALSE
600929,TRUE,FALSE
600930,TRUE,FALSE
600931,TRUE,FALSE
600932,TRUE,FALSE
600933,TRUE,FALSE
600934,TRUE,FALSE
600935,TRUE,FALSE
600937,TRUE,FALSE
600938,TRUE,FALSE
600939,TRUE,FALSE
600940,TRUE,FALSE
600941,TRUE,FALSE
600942,TRUE,FALSE
600943,TRUE,FALSE
600944,TRUE,FALSE
600945,TRUE,FALSE
600946,TRUE,FALSE
600947,TRUE,FALSE
600948,TRUE,FALSE
600949,TRUE,FALSE
600950,TRUE,FALSE
600951,TRUE,FALSE
600952,TRUE,FALSE
600953,TRUE,FALSE
600954,TRUE,FALSE
600955,TRUE,FALSE
600956,TRUE,FALSE
600957,TRUE,FALSE
600958,TRUE,FALSE
600959,TRUE,FALSE
600960,TRUE,FALSE
600961,TRUE,FALSE
600962,TRUE,FALSE
600963,TRUE,FALSE
600964,TRUE,FALSE
600965,TRUE,FALSE
600966,TRUE,FALSE
600967,TRUE,FALSE
600968,TRUE,FALSE
600969,TRUE,FALSE
600970,TRUE,FALSE
600971,TRUE,FALSE
600972,TRUE,FALSE
